objectid,creator,location,latitude,longitude,title,description,subject,source,format,link,filename,code
dhsi01,Evan,University of Idaho,46.72727905,-117.0145717,Awesome Collection,A demo collection of images of intereting places,Small towns; western scenes,Idaho Cities and Town,image/jpeg,https://evanwill.github.io/awesome-one-2026/,https://evanwill.github.io/awesome-one-2026/objects/cities391.jpg,https://github.com/evanwill/awesome-one-2026
dhsi02,Fortune,Arizona State University,33.42313179,-111.9273907,FYC Case Collection,Classroom Scenarios for First-Year Composition,"FYC; classrooms; issues, scenarios","Tempe, Arizona",image/jpeg,https://fortunelavie.github.io/fyc-case-studies/,https://fortunelavie.github.io/fyc-case-studies/objects/small/multilingual_writer_challenges_sm.jpg,https://github.com/fortunelavie/fyc-case-studies
dhsi03,Lyndsay,Connecticut College,41.37989366,-72.10431071,Japanese Print Collection,A teaching collection of Japanese woodblock prints owned by Connecticut College,woodblock prints; art; Japan,Shain Library,image/jpeg,https://lbratton328.github.io/japaneseprintcollection/,https://lbratton328.github.io/japaneseprintcollection/objects/small/jp15_sm.jpg,https://github.com/lbratton328/japaneseprintcollection
dhsi04,Jodie,University of Virginia,38.03594434,-78.50248404,Down by the Riverside,"A companion to the documentary film Down by the Riverside, this collection showcases the history of the Hudson River Clearwater Sloop, a boat that launched a movement.",Pete Seeger; environmentalism; folk music; the Clearwater,Kew Ten,image/jpeg,https://kewten.github.io/theclearwater/,https://kewten.github.io/theclearwater/objects/small/image_petewithbanjo_sm.jpg,
dhsi05,Theresa,Bucknell University,40.95495046,-76.8850759,Kress Study Collection,"The Kress Study Collection at the Samek Art Museum, Bucknell University",Kress Collection; Samek Art Museum; Bucknell University; Renaissance Paintings; art,Samek Art Museum,image/jpeg,https://tmengelb.github.io/samek-kress-demo/,https://museum.bucknell.edu/files/2024/07/2025-Kress-Collection-0001-scaled.jpg,https://github.com/tmengelb/samek-kress-demo
dhsi06,alea,Brown University,41.84340726,-71.39638382,"The Hyphen, The Bracket, The Asterisk","A second prototype of a multimedia archive composed of materials from a familial archive, art work, and essays.",Caribbean DH; Black DH; Antidisciplinarity; Essays,personal collection,image/jpeg,https://gildthatlily.github.io/dhsi2026-cb-demo/,https://gildthatlily.github.io/dhsi2026-cb-demo/objects/rfalib_a_baby_my_mother.jpg,https://github.com/gildthatlily/dhsi2026-cb-demo
dhsi07,amal,Fordham University,40.77113054,-73.9848335,The Salimuzzaman Siddiqui Archive,An archive of materials related to Dr. Salimuzzaman Siddiqui,science; pakistan; personal archive,personal collection,image/jpeg,https://amalzaman26.github.io/salimuzzamansiddiqui/,https://amalzaman26.github.io/salimuzzamansiddiqui/objects/small/ayubkhan_sm.jpg,
dhsi08,Theresa,Bucknell University,40.95495046,-76.8850759,PMC Archive,The Printer's Marks and Chops Archive is a catalog of the chop marks and blind stamps used by printers and publishers on fine art prints and other works on paper.,printmaking; printers; print publishers; chop marks; blind stamps; art,Samek Art Museum and Syracuse University,image/jpeg,https://tmengelb.github.io/cb-pmcarchive/,https://tmengelb.github.io/cb-pmcarchive/assets/img/pmc-archive-logo.jpg,https://github.com/tmengelb/cb-pmcarchive
dhsi09,Lindsey,Kwantlen Polytechnic University,49.13348004,-122.872295,Phillis Wheatley Peters Digital Edition,"The Phillis Wheatley Peters Digital Edition is an open access, digital, scholarly edition of the works of Phillis Wheatley Peters.",women writers; romanticism; print culture,Gilder Lehrman Institute of American History,image/jpeg,https://lindseyseatter.github.io/pwp-dhsi2026/,https://lindseyseatter.github.io/pwp-dhsi2026/objects/pwp_01.jpg,https://github.com/lindseyseatter/pwp-dhsi2026
dhsi10,Janet,Chicago,41.8781,-87.6298,Winter Scenery in Canada,A Collection of Landscape Paintings by the Group of Seven,"painting;modern;canadian,group of seven, landscape; art",art museums,image/jpeg,https://janetcheung0903-creator.github.io/dhsi2026-groupof7/,https://janetcheung0903-creator.github.io/dhsi2026-groupof7/objects/small/franklin_h_carmichael_sm.jpg,https://github.com/janetcheung0903-creator/dhsi2026-groupof7
dhsi11,Jeanette,University of Lincoln,53.2179,0.2,Family archive,Collection of Croen/Galibert family photos,family; celebrations; vacations; holidays,personal collection,image/jpeg,https://jcroen.github.io/correct-template/,https://jcroen.github.io/correct-template/objects/small/image_045_sm.jpg,
dhsi17,Shaneda,University of Tennessee,35.95458797,-83.92946712,Manuscript on Black landownership,"A colletion of Archives from a manuscript on Black landownership in Round O, Colleton County, South Carolina",Landownership; farmers; heirs property; Gullah Geechee people,South Carolina Department of Archives and History,image/jpeg,https://sdestine728.github.io/Day_2/,https://sdestine728.github.io/Day_2/objects/small/quilt_sm.jpg,https://sdestine728.github.io/Day_2/
dhsi12,Kat,Dalhousie University,44.635891,-63.593025,Manuscript Test,Experimenting with CollectionBuilder as a tool in order to see if it fits the needs of my project using the rès Riches Heures du Duc de Berry as a test subject,manuscripts; book of hours; medieval; middle ages; illumination; books; ,wikipedia images,image/jpeg,https://katvanderahe.github.io/manuscript_test/,https://katvanderahe.github.io/manuscript_test/objects/aout.jpg,https://github.com/katvanderahe/manuscript_test
dhsi13,Karen,University of New Mexico,35.08411824,-106.6192112,Japanese Americans in Arizona Oral History collection,An archive of oral histories and relevant materials,Japanese Americans in Arizona community history ,JAAZ Project,image/jpeg,https://profpurplekale.github.io/day2repository/,https://profpurplekale.github.io/day2repository/objects/small/farmworkers_pic_sm.jpg,profpurplekale/day2repository
dhsi14,Leo,Concordia University,45.45744341,-73.64014092,Skin Scent Collection,A collection of information about commercial personal fragrances that are formulated to smell like 'your skin but better' ,fragrance; perfume; skin scents,"Parfumo/Basenotes, Fragrantica, manufacturers' websites",image/jpeg,https://shidafuonline.github.io/skinscents/,https://shidafuonline.github.io/skinscents/objects/skinscentmeanswhat.png,https://github.com/shidafuonline/skinscents
dhsi15,Jesse,University of British Columbia,49.25948542,-123.2458704,Today's Ancestors,A collection of digitized photographs and contact sheets showing daily life for Indigenous communities on Vancouver Island in the 1970s.,"photographs, contact sheets, everyday life, Indigenous communities",X̱wi7x̱wa Archives,record,,,
dhsi16,Elizabeth,Mount Allison University,45.89919817,-64.37194466,Chignecto Isthmus Index,Chignecto Isthmus Index connects to information sources about the people and places of the Tantramar region.,chignecto isthmus; tantramar; small towns; mount allison,Chignecto Isthmus Database,image/jpeg,https://mta-libarch.github.io/chignecto-isthmus/,https://mta-libarch.github.io/chignecto-isthmus/objects/small/obj00235_sm.jpg,https://github.com/mta-libarch/chignecto-isthmus
